         65111546 function calls (54041722 primitive calls) in 109.898 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 cpu_vec_isa.py:155(VecNEON)
        1    0.000    0.000    0.000    0.000 cpu_vec_isa.py:170(VecSVE256)
        1    0.000    0.000    0.000    0.000 cpu_vec_isa.py:190(VecAVX512)
        1    0.000    0.000    0.000    0.000 cpu_vec_isa.py:207(VecAMX)
        1    0.000    0.000    0.000    0.000 cpu_vec_isa.py:247(VecAVX2)
        1    0.000    0.000    0.000    0.000 cpu_vec_isa.py:262(VecZVECTOR)
        1    0.000    0.000    0.000    0.000 cpu_vec_isa.py:279(VecVSX)
        1    0.000    0.000    0.000    0.000 cpu_vec_isa.py:292(InvalidVecISA)
        1    0.000    0.000    0.000    0.000 cpu_vec_isa.py:34(VecISA)
        1    0.000    0.000    0.000    0.000 create_parameter_op.py:1(<module>)
        1    0.000    0.000    0.000    0.000 create_parameter_op.py:21(TracableCreateParameter)
        1    0.000    0.000    0.000    0.000 cse_main.py:1(<module>)
        1    0.000    0.000    0.000    0.000 cse_main.py:218(FuncArgTracker)
        1    0.000    0.000    0.000    0.000 cse_main.py:345(Unevaluated)
        1    0.000    0.000    0.000    0.000 cse_opts.py:1(<module>)
        1    0.000    0.000    0.011    0.011 ctx_base.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ctx_base.py:21(Context)
        1    0.000    0.000    0.000    0.000 ctx_base.py:24(StandardBaseContext)
        5    0.000    0.000    0.002    0.000 ctx_base.py:42(__init__)
        5    0.000    0.000    0.000    0.000 ctx_base.py:458(memoize)
        4    0.000    0.000    0.000    0.000 ctx_base.py:52(_init_aliases)
        1    0.000    0.000    0.012    0.012 ctx_fp.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ctx_fp.py:12(FPContext)
        1    0.000    0.000    0.000    0.000 ctx_fp.py:18(__init__)
       17    0.000    0.000    0.000    0.000 ctx_fp.py:28(<lambda>)
      213    0.000    0.000    0.000    0.000 ctx_fp.py:51(_wrap_specfun)
        1    0.000    0.000    0.000    0.000 ctx_iv.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ctx_iv.py:145(__neg__)
        1    0.000    0.000    0.000    0.000 ctx_iv.py:151(ivmpc)
        1    0.000    0.000    0.000    0.000 ctx_iv.py:153(__new__)
        5    0.000    0.000    0.000    0.000 ctx_iv.py:244(_binary_op)
        1    0.000    0.000    0.000    0.000 ctx_iv.py:292(ivmpf_constant)
       11    0.000    0.000    0.000    0.000 ctx_iv.py:293(__new__)
        8    0.000    0.000    0.000    0.000 ctx_iv.py:30(convert_mpf_)
        1    0.000    0.000    0.000    0.000 ctx_iv.py:304(MPIntervalContext)
        1    0.000    0.000    0.000    0.000 ctx_iv.py:306(__init__)
        1    0.000    0.000    0.000    0.000 ctx_iv.py:324(_init_builtins)
       10    0.000    0.000    0.000    0.000 ctx_iv.py:355(_wrap_mpi_function)
      213    0.000    0.000    0.000    0.000 ctx_iv.py:369(_wrap_specfun)
        1    0.000    0.000    0.000    0.000 ctx_iv.py:38(ivmpf)
        1    0.000    0.000    0.000    0.000 ctx_iv.py:386(_set_prec)
       45    0.000    0.000    0.000    0.000 ctx_iv.py:394(<lambda>)
       24    0.000    0.000    0.000    0.000 ctx_iv.py:397(make_mpf)
       17    0.000    0.000    0.000    0.000 ctx_iv.py:407(_mpq)
        6    0.000    0.000    0.000    0.000 ctx_iv.py:413(convert)
        4    0.000    0.000    0.000    0.000 ctx_iv.py:43(__new__)
        1    0.000    0.000    0.001    0.001 ctx_manager.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ctx_manager.py:1040(FSDPParamGroupUseTrainingStateVariable)
        1    0.000    0.000    0.000    0.000 ctx_manager.py:1101(SDPAKernelVariable)
        1    0.000    0.000    0.000    0.000 ctx_manager.py:1174(StreamVariable)
        1    0.000    0.000    0.000    0.000 ctx_manager.py:1252(EventVariable)
        1    0.000    0.000    0.000    0.000 ctx_manager.py:1309(WithExitFunctionVariable)
        1    0.000    0.000    0.000    0.000 ctx_manager.py:156(GenericContextWrappingVariable)
        1    0.000    0.000    0.000    0.000 ctx_manager.py:199(GradInplaceRequiresGradCtxManagerVariable)
        1    0.000    0.000    0.000    0.000 ctx_manager.py:239(TemporarilyPopInterpreterStackCtxManagerVariable)
        1    0.000    0.000    0.000    0.000 ctx_manager.py:275(JvpIncrementNestingCtxManagerVariable)
        1    0.000    0.000    0.000    0.000 ctx_manager.py:316(SetFwdGradEnabledContextManager)
        1    0.000    0.000    0.000    0.000 ctx_manager.py:354(DualLevelContextManager)
        1    0.000    0.000    0.000    0.000 ctx_manager.py:392(GradIncrementNestingCtxManagerVariable)
        1    0.000    0.000    0.000    0.000 ctx_manager.py:431(CatchWarningsCtxManagerVariable)
        1    0.000    0.000    0.000    0.000 ctx_manager.py:462(VmapIncrementNestingCtxManagerVariable)
        1    0.000    0.000    0.000    0.000 ctx_manager.py:511(GradModeVariable)
        1    0.000    0.000    0.000    0.000 ctx_manager.py:569(InferenceModeVariable)
        1    0.000    0.000    0.000    0.000 ctx_manager.py:57(ContextManagerState)
        1    0.000    0.000    0.000    0.000 ctx_manager.py:619(CUDADeviceVariable)
        1    0.000    0.000    0.000    0.000 ctx_manager.py:669(TorchFunctionDisableVariable)
        1    0.000    0.000    0.000    0.000 ctx_manager.py:702(DeterministicAlgorithmsVariable)
        1    0.000    0.000    0.000    0.000 ctx_manager.py:746(DisabledSavedTensorsHooksVariable)
        1    0.000    0.000    0.000    0.000 ctx_manager.py:78(ContextWrappingVariable)
        1    0.000    0.000    0.000    0.000 ctx_manager.py:798(AutocastModeVariable)
        1    0.000    0.000    0.000    0.000 ctx_manager.py:857(NullContextVariable)
        1    0.000    0.000    0.000    0.000 ctx_manager.py:878(ProfilerContextVariable)
        1    0.000    0.000    0.000    0.000 ctx_manager.py:913(StreamContextVariable)
        1    0.000    0.000    0.000    0.000 ctx_manager.py:977(PreserveVersionContextVariable)
        1    0.000    0.000    0.003    0.003 ctx_mp.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ctx_mp.py:1301(PrecisionManager)
        1    0.000    0.000    0.000    0.000 ctx_mp.py:58(MPContext)
        3    0.000    0.000    0.001    0.000 ctx_mp.py:63(__init__)
        3    0.000    0.000    0.000    0.000 ctx_mp.py:96(init_builtins)
        1    0.000    0.000    0.001    0.001 ctx_mp_python.py:1(<module>)
      639    0.000    0.000    0.000    0.000 ctx_mp_python.py:1014(_wrap_specfun)
        2    0.000    0.000    0.000    0.000 ctx_mp_python.py:145(__float__)
        1    0.000    0.000    0.000    0.000 ctx_mp_python.py:163(__neg__)
        7    0.000    0.000    0.001    0.000 ctx_mp_python.py:279(binary_op)
        1    0.000    0.000    0.000    0.000 ctx_mp_python.py:33(mpnumeric)
        1    0.000    0.000    0.000    0.000 ctx_mp_python.py:330(_constant)
       42    0.000    0.000    0.000    0.000 ctx_mp_python.py:336(__new__)
        1    0.000    0.000    0.000    0.000 ctx_mp_python.py:359(_mpc)
        2    0.000    0.000    0.000    0.000 ctx_mp_python.py:368(__new__)
        1    0.000    0.000    0.000    0.000 ctx_mp_python.py:39(_mpf)
        1    0.000    0.000    0.000    0.000 ctx_mp_python.py:434(mpc_convert_lhs)
        6    0.000    0.000    0.000    0.000 ctx_mp_python.py:47(__new__)
        1    0.000    0.000    0.000    0.000 ctx_mp_python.py:512(__div__)
        1    0.000    0.000    0.000    0.000 ctx_mp_python.py:583(PythonMPContext)
        3    0.000    0.000    0.000    0.000 ctx_mp_python.py:585(__init__)
       16    0.000    0.000    0.000    0.000 ctx_mp_python.py:597(make_mpf)
        3    0.000    0.000    0.000    0.000 ctx_mp_python.py:602(make_mpc)
        3    0.000    0.000    0.000    0.000 ctx_mp_python.py:607(default)
        2    0.000    0.000    0.000    0.000 ctx_mp_python.py:612(_set_prec)
        2    0.000    0.000    0.000    0.000 ctx_mp_python.py:620(<lambda>)
        1    0.000    0.000    0.000    0.000 ctx_mp_python.py:623(convert)
        6    0.000    0.000    0.000    0.000 ctx_mp_python.py:82(mpf_convert_arg)
      129    0.000    0.000    0.000    0.000 ctx_mp_python.py:979(_wrap_libmp_function)
        1    0.000    0.000    0.000    0.000 cuda_env.py:1(<module>)
        1    0.000    0.000    0.008    0.008 cudagraph_utils.py:1(<module>)
        1    0.000    0.000    0.000    0.000 cudagraph_utils.py:201(BoxedDeviceIndex)
        1    0.000    0.000    0.000    0.000 cudagraph_utils.py:248(CheckInvariantStatus)
        1    0.000    0.000    0.000    0.000 cudagraph_utils.py:28(FunctionID)
        1    0.000    0.000    0.000    0.000 cudagraph_utils.py:332(CudagraphCachedInfo)
        1    0.000    0.000    0.000    0.000 cudagraph_utils.py:35(PlaceholderInfo)
        1    0.000    0.000    0.000    0.000 cudagraph_utils.py:50(WrappedFunction)
        1    0.000    0.000    0.000    0.000 current_flow_betweenness.py:1(<module>)
        1    0.000    0.000    0.000    0.000 current_flow_betweenness_subset.py:1(<module>)
        1    0.000    0.000    0.000    0.000 current_flow_closeness.py:1(<module>)
        1    0.000    0.000    0.000    0.000 current_scope_id.py:1(<module>)
        1    0.000    0.000    0.000    0.000 curve.py:1(<module>)
        1    0.000    0.000    0.000    0.000 curve.py:22(Curve)
        1    0.000    0.000    0.000    0.000 custom_graph_pass.py:1(<module>)
        1    0.000    0.000    0.000    0.000 custom_graph_pass.py:10(CustomGraphPass)
       11    0.000    0.000    0.020    0.002 custom_ops.py:145(inner)
       11    0.000    0.000    0.019    0.002 custom_ops.py:186(__init__)
       22    0.000    0.000    0.000    0.000 custom_ops.py:208(_qualname)
       11    0.000    0.000    0.000    0.000 custom_ops.py:285(register_kernel)
       11    0.000    0.000    0.000    0.000 custom_ops.py:326(inner)
       11    0.000    0.000    0.000    0.000 custom_ops.py:387(register_fake)
       11    0.000    0.000    0.009    0.001 custom_ops.py:48(custom_op)
       11    0.000    0.000    0.018    0.002 custom_ops.py:589(_register_to_dispatcher)
        1    0.000    0.000    0.000    0.000 custom_ops.py:673(register_vmap)
        1    0.000    0.000    0.000    0.000 custom_ops.py:749(register)
       11    0.000    0.000    0.001    0.000 custom_ops.py:897(get_library_allowing_overwrite)
        1    0.000    0.000    0.000    0.000 custom_ops.py:911(_maybe_get_opdef)
        2    0.000    0.000    0.000    0.000 cuts.py:1(<module>)
        1    0.000    0.000    0.000    0.000 cycles.py:1(<module>)
        1    0.000    0.000    0.000    0.000 cycles.py:340(_NeighborhoodCache)
        1    0.000    0.000    0.000    0.000 cytoscape.py:1(<module>)
        1    0.000    0.000    0.000    0.000 d_separation.py:1(<module>)
        1    0.000    0.000    0.000    0.000 dag.py:1(<module>)
      322    0.000    0.000    0.000    0.000 dataclasses.py:1014(<listcomp>)
      322    0.000    0.000    0.000    0.000 dataclasses.py:1040(<listcomp>)
      321    0.000    0.000    0.000    0.000 dataclasses.py:1043(<listcomp>)
      316    0.000    0.000    0.000    0.000 dataclasses.py:1049(<listcomp>)
        2    0.000    0.000    0.000    0.000 dataclasses.py:1059(<listcomp>)
     1621    0.000    0.000    0.000    0.000 dataclasses.py:1098(<genexpr>)
        3    0.000    0.000    0.000    0.000 dataclasses.py:1122(_add_slots)
        8    0.000    0.000    0.000    0.000 dataclasses.py:1132(<genexpr>)
      322    0.000    0.000    0.160    0.000 dataclasses.py:1156(dataclass)
      322    0.000    0.000    0.208    0.001 dataclasses.py:1174(wrap)
        7    0.000    0.000    0.000    0.000 dataclasses.py:1187(fields)
       47    0.000    0.000    0.000    0.000 dataclasses.py:1202(<genexpr>)
        3    0.000    0.000    0.000    0.000 dataclasses.py:1210(is_dataclass)
       36    0.000    0.000    0.000    0.000 dataclasses.py:178(__repr__)
      321    0.001    0.000    0.002    0.000 dataclasses.py:227(_recursive_repr)
     1265    0.001    0.000    0.001    0.000 dataclasses.py:286(__init__)
      519    0.000    0.000    0.000    0.000 dataclasses.py:326(__set_name__)
      322    0.000    0.000    0.000    0.000 dataclasses.py:345(__init__)
     1265    0.001    0.000    0.001    0.000 dataclasses.py:367(field)
      322    0.001    0.000    0.001    0.000 dataclasses.py:391(_fields_in_init_order)
     1625    0.000    0.000    0.000    0.000 dataclasses.py:395(<genexpr>)
      330    0.000    0.000    0.000    0.000 dataclasses.py:396(<genexpr>)
      725    0.001    0.000    0.001    0.000 dataclasses.py:400(_tuple_str)
      698    0.000    0.000    0.000    0.000 dataclasses.py:409(<listcomp>)
     1245    0.004    0.000    0.154    0.000 dataclasses.py:412(_create_fn)
     4568    0.001    0.000    0.001    0.000 dataclasses.py:424(<genexpr>)
     1314    0.000    0.000    0.000    0.000 dataclasses.py:436(_field_assign)
     1347    0.001    0.000    0.001    0.000 dataclasses.py:448(_field_init)
     1311    0.000    0.000    0.000    0.000 dataclasses.py:508(_init_param)
      321    0.002    0.000    0.035    0.000 dataclasses.py:527(_init_fn)
      321    0.000    0.000    0.000    0.000 dataclasses.py:547(<dictcomp>)
       44    0.000    0.000    0.000    0.000 dataclasses.py:564(<genexpr>)
      321    0.000    0.000    0.001    0.000 dataclasses.py:572(<listcomp>)
        3    0.000    0.000    0.000    0.000 dataclasses.py:578(<listcomp>)
      321    0.001    0.000    0.097    0.000 dataclasses.py:587(_repr_fn)
      321    0.000    0.000    0.000    0.000 dataclasses.py:591(<listcomp>)
       95    0.000    0.000    0.012    0.000 dataclasses.py:598(_frozen_get_del_attr)
      360    0.000    0.000    0.000    0.000 dataclasses.py:602(<genexpr>)
      324    0.000    0.000    0.017    0.000 dataclasses.py:623(_cmp_fn)
       89    0.000    0.000    0.003    0.000 dataclasses.py:637(_hash_fn)
     1977    0.000    0.000    0.000    0.000 dataclasses.py:645(_is_classvar)
     1977    0.000    0.000    0.000    0.000 dataclasses.py:653(_is_initvar)
     1977    0.000    0.000    0.000    0.000 dataclasses.py:659(_is_kw_only)
     2211    0.003    0.000    0.005    0.000 dataclasses.py:663(_is_type)
     1265    0.004    0.000    0.010    0.000 dataclasses.py:722(_get_field)
     1537    0.001    0.000    0.001    0.000 dataclasses.py:817(_set_qualname)
     1474    0.001    0.000    0.003    0.000 dataclasses.py:824(_set_new_attribute)
      209    0.000    0.000    0.000    0.000 dataclasses.py:839(_hash_set_none)
       89    0.000    0.000    0.003    0.000 dataclasses.py:842(_hash_add)
       89    0.000    0.000    0.000    0.000 dataclasses.py:843(<listcomp>)
      322    0.009    0.000    0.208    0.001 dataclasses.py:881(_process_class)
        1    0.000    0.000    0.002    0.002 ddm.py:1(<module>)
        1    0.000    0.000    0.000    0.000 ddm.py:102(DDM)
        1    0.000    0.000    0.000    0.000 decompogen.py:1(<module>)
        1    0.000    0.000    0.000    0.000 decomposition.py:1(<module>)
        1    0.000    0.000    0.001    0.001 decomposition_table.py:1(<module>)
        1    0.000    0.000    0.000    0.000 decompositions.py:1(<module>)
        1    0.000    0.000    0.003    0.003 decompositions_for_rng.py:1(<module>)
        1    0.000    0.000    0.000    0.000 decompositions_for_rng.py:110(PhiloxStateTracker)
        2    0.000    0.000    0.000    0.000 decompositions_for_rng.py:18(register_rng_decomposition)
        1    0.000    0.000    0.000    0.000 decompositions_for_rng.py:66(PhiloxState)
        1    0.000    0.000    0.000    0.000 decorator.py:1(<module>)
        1    0.000    0.000    0.000    0.000 decorator.py:101(no_attrs_in_subclass)
        2    0.000    0.000    0.000    0.000 decorator.py:120(__init__)
       15    0.000    0.000    0.000    0.000 decorator.py:132(doctest_depends_on)
        1    0.000    0.000    0.026    0.026 decorator.py:16(threaded_factory)
       15    0.000    0.000    0.000    0.000 decorator.py:170(depends_on_deco)
      169    0.000    0.000    0.000    0.000 decorator.py:184(public)
       56    0.000    0.000    0.000    0.000 decorator.py:233(memoize_property)
       20    0.000    0.000    0.000    0.000 decorator.py:251(deprecated)
       20    0.000    0.000    0.000    0.000 decorator.py:317(deprecated_decorator)
        1    0.000    0.000    0.000    0.000 decorator.py:319(wrapper)
        1    0.000    0.000    0.026    0.026 decorator.py:65(xthreaded)
        1    0.000    0.000    0.000    0.000 decorator.py:85(conserve_mpmath_dps)
        3    0.000    0.000    0.001    0.000 decorators.py:1(<module>)
        1    0.000    0.000    0.000    0.000 decorators.py:102(set_stance)
       27    0.000    0.000    0.000    0.000 decorators.py:108(open_file)
       41    0.000    0.000    0.000    0.000 decorators.py:110(priority_decorator)
        1    0.000    0.000    0.000    0.000 decorators.py:111(binary_op_wrapper)
        3    0.000    0.000    0.000    0.000 decorators.py:123(sympify_method_args)
       32    0.000    0.000    0.000    0.000 decorators.py:196(sympify_return)
       32    0.000    0.000    0.000    0.000 decorators.py:202(wrapper)
       10    0.000    0.000    0.000    0.000 decorators.py:204(nodes_or_number)
        1    0.000    0.000    0.000    0.000 decorators.py:207(_SympifyWrapper)
       32    0.000    0.000    0.000    0.000 decorators.py:210(__init__)
        1    0.000    0.000    0.000    0.000 decorators.py:213(_disallow_in_graph_helper)
        1    0.000    0.000    0.000    0.000 decorators.py:214(inner)
       37    0.000    0.000    0.000    0.000 decorators.py:214(make_wrapped)
       66    0.000    0.000    0.000    0.000 decorators.py:23(_sympifyit)
        1    0.000    0.000    0.000    0.000 decorators.py:236(_func)
    10420    0.003    0.000    0.003    0.000 decorators.py:261(graph_break)
        4    0.000    0.000    0.000    0.000 decorators.py:266(forbid_in_graph)
       13    0.000    0.000    0.000    0.000 decorators.py:268(np_random_state)
      304    0.001    0.000    0.001    0.000 decorators.py:28(not_implemented_for)
       21    0.000    0.000    0.000    0.000 decorators.py:281(substitute_in_graph)
       97    0.000    0.000    0.000    0.000 decorators.py:315(py_random_state)
       21    0.001    0.000    0.219    0.010 decorators.py:354(wrapper)
       24    0.000    0.000    0.000    0.000 decorators.py:368(sig_ident)
       56    0.000    0.000    0.000    0.000 decorators.py:371(<genexpr>)
        1    0.000    0.000    0.000    0.000 decorators.py:375(argmap)
       24    0.000    0.000    0.000    0.000 decorators.py:384(<setcomp>)
       24    0.000    0.000    0.000    0.000 decorators.py:389(<dictcomp>)
       66    0.000    0.000    0.000    0.000 decorators.py:46(deco)
        1    0.000    0.000    0.000    0.000 decorators.py:484(_DimRange)
       66    0.000    0.000    0.000    0.000 decorators.py:52(__sympifyit)
        2    0.000    0.000    0.000    0.000 decorators.py:68(disable)
     1211    0.000    0.000    0.000    0.000 decorators.py:714(__init__)
     1211    0.003    0.000    0.008    0.000 decorators.py:766(__call__)
       41    0.000    0.000    0.000    0.000 decorators.py:83(call_highest_priority)
        1    0.000    0.000    0.000    0.000 default_hooks.py:1(<module>)
        1    0.000    0.000    0.000    0.000 default_hooks.py:46(LowPrecisionState)
        1    0.000    0.000    0.000    0.000 default_hooks.py:9(DefaultState)
        1    0.000    0.000    0.000    0.000 defaults.py:1(<module>)
        1    0.000    0.000    0.000    0.000 degree_alg.py:1(<module>)
        1    0.000    0.000    0.000    0.000 degree_seq.py:1(<module>)
        1    0.000    0.000    0.000    0.000 degree_seq.py:756(DegreeSequenceRandomGraph)
        1    0.000    0.000    0.001    0.001 delta_functions.py:1(<module>)
        1    0.000    0.000    0.000    0.000 delta_functions.py:17(DiracDelta)
        1    0.000    0.000    0.000    0.000 delta_functions.py:393(Heaviside)
        1    0.000    0.000    0.000    0.000 deltafunctions.py:1(<module>)
        3    0.000    0.000    0.009    0.003 dense.py:1(<module>)
        1    0.000    0.000    0.000    0.000 dense.py:115(MutableDenseMatrix)
        1    0.000    0.000    0.000    0.000 dense.py:28(DenseMatrix)
        1    0.000    0.000    0.001    0.001 dense_ndim_array.py:1(<module>)
        1    0.000    0.000    0.000    0.000 dense_ndim_array.py:13(DenseNDimArray)
        1    0.000    0.000    0.000    0.000 dense_ndim_array.py:132(ImmutableDenseNDimArray)
        1    0.000    0.000    0.000    0.000 dense_ndim_array.py:160(MutableDenseNDimArray)
        1    0.000    0.000    0.000    0.000 densearith.py:1(<module>)
        1    0.000    0.000    0.000    0.000 densebasic.py:1(<module>)
        2    0.000    0.000    0.000    0.000 densebasic.py:255(dup_strip)
      8/2    0.000    0.000    0.000    0.000 densebasic.py:315(_rec_validate)
        2    0.000    0.000    0.000    0.000 densebasic.py:333(_rec_strip)
        2    0.000    0.000    0.000    0.000 densebasic.py:343(dmp_validate)
        1    0.000    0.000    0.000    0.000 densetools.py:1(<module>)
        1    0.000    0.000    0.001    0.001 deprecated.py:1(<module>)
       12    0.000    0.000    0.000    0.000 deprecated.py:23(get_warning)
       12    0.000    0.000    0.000    0.000 deprecated.py:44(setup_docs)
        1    0.000    0.000    0.000    0.000 depth_first_search.py:1(<module>)
        2    0.000    0.000    0.000    0.000 determinant.py:1(<module>)
        1    0.000    0.000    0.000    0.000 determinant.py:72(Permanent)
        1    0.000    0.000    0.000    0.000 determinant.py:9(Determinant)
        1    0.000    0.000    0.000    0.000 deutils.py:1(<module>)
        1    0.000    0.000    0.001    0.001 device_interface.py:1(<module>)
        1    0.000    0.000    0.000    0.000 device_interface.py:154(DeviceGuard)
        1    0.000    0.000    0.000    0.000 device_interface.py:181(CudaInterface)
        1    0.000    0.000    0.000    0.000 device_interface.py:189(Worker)
        1    0.000    0.000    0.000    0.000 device_interface.py:256(XpuInterface)
        1    0.000    0.000    0.000    0.000 device_interface.py:261(Worker)
        1    0.000    0.000    0.000    0.000 device_interface.py:321(CpuDeviceProperties)
        1    0.000    0.000    0.000    0.000 device_interface.py:326(CpuInterface)
        1    0.000    0.000    0.000    0.000 device_interface.py:327(Event)
        1    0.000    0.000    0.000    0.000 device_interface.py:361(Worker)
        1    0.000    0.000    0.000    0.000 device_interface.py:370(MpsInterface)
        1    0.000    0.000    0.000    0.000 device_interface.py:399(Worker)
        1    0.000    0.000    0.000    0.000 device_interface.py:41(DeviceInterface)
        1    0.000    0.000    0.000    0.000 device_interface.py:47(device)
        1    0.000    0.000    0.000    0.000 device_interface.py:51(Event)
        1    0.000    0.000    0.000    0.000 device_interface.py:57(Stream)
        1    0.000    0.000    0.000    0.000 device_interface.py:63(Worker)
        1    0.000    0.000    0.000    0.000 device_mesh.py:1(<module>)
        1    0.000    0.000    0.000    0.000 dfm.py:1(<module>)
        1    0.000    0.000    0.000    0.000 dfm.py:18(DFM_dummy)
        1    0.000    0.000    0.000    0.000 diagonal.py:1(<module>)
        1    0.000    0.000    0.000    0.000 diagonal.py:157(DiagMatrix)
        1    0.000    0.000    0.000    0.000 diagonal.py:86(DiagonalOf)
        1    0.000    0.000    0.000    0.000 diagonal.py:9(DiagonalMatrix)
        1    0.000    0.000    0.000    0.000 dicts.py:1(<module>)
        1    0.000    0.000    0.000    0.000 dicts.py:535(MappingProxyVariable)
        1    0.000    0.000    0.000    0.000 dicts.py:583(NNModuleHooksDictVariable)
        1    0.000    0.000    0.000    0.000 dicts.py:592(DefaultDictVariable)
        1    0.000    0.000    0.000    0.000 dicts.py:645(SetVariable)
        1    0.000    0.000    0.000    0.000 dicts.py:761(FrozensetVariable)
        1    0.000    0.000    0.000    0.000 dicts.py:808(DictKeySetVariable)
        1    0.000    0.000    0.000    0.000 dicts.py:850(DictViewVariable)
        1    0.000    0.000    0.000    0.000 dicts.py:898(DictKeysVariable)
        1    0.000    0.000    0.000    0.000 dicts.py:91(ConstDictVariable)
        1    0.000    0.000    0.000    0.000 dicts.py:931(DictValuesVariable)
        1    0.000    0.000    0.000    0.000 dicts.py:97(_HashableTracker)
        1    0.000    0.000    0.000    0.000 differentiation.py:1(<module>)
        1    0.000    0.000    0.000    0.000 digits.py:1(<module>)
        1    0.000    0.000    0.001    0.001 digraph.py:1(<module>)
        1    0.000    0.000    0.000    0.000 digraph.py:22(_CachedPropertyResetterAdjAndSucc)
        1    0.000    0.000    0.000    0.000 digraph.py:60(_CachedPropertyResetterPred)
        1    0.001    0.001    0.001    0.001 digraph.py:88(DiGraph)
        1    0.000    0.000    0.000    0.000 dinitz_alg.py:1(<module>)
        1    0.000    0.000    0.001    0.001 diophantine.py:1(<module>)
        1    0.000    0.000    0.000    0.000 diophantine.py:1029(GeneralPythagorean)
        1    0.000    0.000    0.000    0.000 diophantine.py:1107(CubicThue)
        1    0.000    0.000    0.000    0.000 diophantine.py:1134(GeneralSumOfEvenPowers)
        1    0.000    0.000    0.000    0.000 diophantine.py:1213(<setcomp>)
        1    0.000    0.000    0.000    0.000 diophantine.py:146(DiophantineEquationType)
        1    0.000    0.000    0.000    0.000 diophantine.py:224(Univariate)
        1    0.000    0.000    0.000    0.000 diophantine.py:256(Linear)
        1    0.000    0.000    0.000    0.000 diophantine.py:40(DiophantineSolutionSet)
        1    0.000    0.000    0.000    0.000 diophantine.py:454(BinaryQuadratic)
        1    0.000    0.000    0.000    0.000 diophantine.py:676(InhomogeneousTernaryQuadratic)
        1    0.000    0.000    0.000    0.000 diophantine.py:695(HomogeneousTernaryQuadraticNormal)
        1    0.000    0.000    0.000    0.000 diophantine.py:782(HomogeneousTernaryQuadratic)
        1    0.000    0.000    0.000    0.000 diophantine.py:918(InhomogeneousGeneralQuadratic)
        1    0.000    0.000    0.000    0.000 diophantine.py:938(HomogeneousGeneralQuadratic)
        1    0.000    0.000    0.000    0.000 diophantine.py:958(GeneralSumOfSquares)
        1    0.000    0.000    0.000    0.000 directed.py:1(<module>)
        1    0.000    0.000    0.001    0.001 disasm.py:1(<module>)
        1    0.000    0.000    0.000    0.000 disjoint_paths.py:1(<module>)
        1    0.000    0.000    0.000    0.000 dispatch_and_compile_graph.py:1(<module>)
        1    0.000    0.000    0.000    0.000 dispatcher.py:1(<module>)
        1    0.000    0.000    0.000    0.000 dispatcher.py:10(MDNotImplementedError)
       14    0.000    0.000    0.000    0.000 dispatcher.py:113(__init__)
       43    0.000    0.000    0.000    0.000 dispatcher.py:120(register)
       43    0.000    0.000    0.018    0.000 dispatcher.py:147(_)
       89    0.000    0.000    0.033    0.000 dispatcher.py:178(add)
      267    0.000    0.000    0.000    0.000 dispatcher.py:204(<genexpr>)
       89    0.000    0.000    0.032    0.000 dispatcher.py:222(reorder)
        1    0.000    0.000    0.000    0.000 dispatcher.py:33(RaiseNotImplementedError)
        1    0.000    0.000    0.000    0.000 dispatcher.py:366(MethodDispatcher)
        2    0.000    0.000    0.000    0.000 dispatcher.py:46(ambiguity_register_error_ignore_dup)
        1    0.000    0.000    0.000    0.000 dispatcher.py:89(Dispatcher)
        1    0.000    0.000    0.000    0.000 dispersion.py:1(<module>)
        2    0.000    0.000    0.000    0.000 distance_measures.py:1(<module>)
        1    0.000    0.000    0.000    0.000 distance_regular.py:1(<module>)
        2    0.000    0.000    0.000    0.000 distributed.py:1(<module>)
        1    0.000    0.000    0.000    0.000 distributed.py:109(WorldMetaClassVariable)
        1    0.000    0.000    0.000    0.000 distributed.py:136(PlacementClassVariable)
        1    0.000    0.000    0.000    0.000 distributed.py:171(PlacementVariable)
        1    0.000    0.000    0.000    0.000 distributed.py:235(DeviceMeshVariable)
        1    0.000    0.000    0.000    0.000 distributed.py:280(ProcessGroupVariable)
        1    0.000    0.000    0.000    0.000 distributed.py:339(BackwardHookVariable)
        1    0.000    0.000    0.000    0.000 distributed.py:45(DistributedVariable)
        1    0.000    0.000    0.000    0.000 distributed_c10d.py:302(register_backend)
       10    0.000    0.000    0.000    0.000 distributed_c10d.py:596(default_pg)
       10    0.000    0.000    0.000    0.000 distributed_c10d.py:721(WORLD)
        1    0.000    0.000    0.000    0.000 divisive.py:1(<module>)
        1    0.000    0.000    0.001    0.001 domain.py:1(<module>)
        1    0.000    0.000    0.000    0.000 domain.py:18(Domain)
       21    0.000    0.000    0.000    0.000 domain.py:371(new)
       21    0.000    0.000    0.000    0.000 domain.py:379(__call__)
       12    0.000    0.000    0.000    0.000 domain.py:403(convert)
       12    0.000    0.000    0.000    0.000 domain.py:470(of_type)
